Location,Followers,Following,Stars,Contributions,Weight,Longitude,Latitude
CN,48,25,173,548,283.2000000000001,104.999927,35.000074
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
  Seattle,85,8,157,48,84.10000000000002,-122.3300624,47.6038321
"Palo Alto, CA",357,1,27,3130,1331.6,-122.1598465,37.4443293
"Menlo Park, CA",61,10,0,65,39.2,-122.1779927,37.4519671
New York,168,0,21,662,304.7,-74.0060152,40.7127281
"Atlanta, GA",83,24,20,95,63.0,-84.3901849,33.7490987
Brazil,415,0,1,42,100.1,-53.2,-10.3333333
"Beijing, China",2500,34,1000,410,967.4,116.412144,40.190632
Sydney Australia,3400,0,0,99,719.6,151.2164539,-33.8548157
"Xian, Shaanxi, China",1100,20,146,13,271.0,108.9365887,34.3468421
"Guangzhou, China",1200,1,50,0,255.1,113.2592945,23.1301964
Canada,438,1,135,1057,551.0,-107.9917071,61.0666922
Sweden,482,8,48,12,116.4,14.5208584,59.6749712
"Cambridge, MA",1400,72,368,91,434.0,-71.1056157,42.3750997
"Seoul, South Korea",62,1,61,0,30.8,126.9782914,37.5666791
"Cambridge, UK",147,20,120,1,67.80000000000001,0.1235817,52.2034823
"Washington, DC",558,9,29,569,348.80000000000007,-77.0365581,38.8949924
"Santa Clara, CA, US",57,3,3,3,13.8,-121.6846349,37.2333253
xi'an,191,61,376,1,157.5,108.9365887,34.3468421
Seoul,618,0,45,7,139.90000000000003,126.9782914,37.5666791
"San Francisco Bay Area, CA",201,25,49,1586,691.8000000000002,-122.3558473,37.7884969
SZ City,25,29,303,354,240.4,8.7222073,47.0571976
South Korea,208,13,195,565,327.4,127.6961188,36.638392
Copenhagen,129,30,153,1458,657.9000000000002,12.5700724,55.6867243
"Tianjin, China",998,40,466,1832,1076.2,117.4163641,39.3032619
"Beijing, China",597,15,11,0,124.2,116.412144,40.190632
South Africa,39,10,1,39,24.700000000000006,24.991639,-28.8166236
"Tampa, FL",16,0,2,22,12.6,-82.458444,27.9477595
"Dallas, Texas",81,1,60,400,194.3,-96.7968559,32.7762719
Philadelphia,138,2,97,88,92.1,-75.1635262,39.9527237
"New Delhi, India",5600,2,64,637,1394.2,77.2090057,28.6138954
China,1700,15,2,185,416.1,104.999927,35.000074
"Hangzhou, China",26,0,14,43,26.6,120.2052342,30.2489634
London - UK,351,3,0,39,86.1,-0.1276474,51.5073219
New York City,3100,2,29,724,918.5,-74.0060152,40.7127281
"Rochester, NY",1400,651,472,887,841.5,-77.615214,43.157285
"New York, NY",75,2,18,4,22.2,-74.0060152,40.7127281
"Kuala Lumpur, Malaysia",1000,31,104,634,487.9,101.6942371,3.1516964
Los Angeles,58,27,73,102,77.0,-118.2427666,34.0536909
San Francisco,275,59,33,38,86.0,-122.4199061,37.7790262
California,44,1,115,7,46.2,-118.7559974,36.7014631
ChengDu,156,118,821,0,289.2999999999999,104.0633219,30.6624205
"Sydney, Australia",145,71,743,3270,1567.0,151.2164539,-33.8548157
"Boston, USA",31,4,7,195,86.7,-71.0582912,42.3602534
Munich,20,0,1,0,4.3,11.5753822,48.1371079
Australia,32,21,68,0,28.9,134.755,-24.7761086
"Dnipro, Ukraine",52,0,54,4,28.200000000000006,35.0417711,48.4680221
Seattle x Singapore,487,51,81,1549,746.4,,
United Kingdom,279,20,56,482,267.40000000000003,-3.2765753,54.7023545
Kraków,816,77,279,454,436.2000000000001,19.9368564,50.0619474
"San Francisco, CA",29,21,723,81,257.2,-71.2743272,46.8443248
"Cambridge, UK",609,16,281,0,207.7,0.1235817,52.2034823
Da Lian,6,6,112,30,47.4,121.6282945,38.9181714
Beijing,8,1,11,71,33.40000000000001,116.412144,40.190632
"Virginia, USA",12,9,12,782,319.7,-78.4927721,37.1232245
Sri Lanka,12,0,77,145,83.5,80.7137847,7.5554942
"Shanghai, China",27,7,79,0,29.8,121.4692071,31.2322758
"Vancouver, BC",20,3,6,0,6.1,-123.1139529,49.2608724
United Kingdom,15,10,10,121,55.40000000000001,-3.2765753,54.7023545
"London, UK",56,0,5,0,12.7,-0.1276474,51.5073219
Italy,142,15,15,690,310.4,12.674297,42.6384261
Amsterdam,5600,7,83,1481,1738.0,4.8936041,52.3727598
Peking University,367,0,5,1204,556.5,116.30398025819336,39.9917393
"Brooklyn, NY",482,11,74,81,152.1,-73.9495823,40.6501038
"Fremont, CA",1800,5,97,586,624.0,-123.13581745077204,49.2850624
New York City,270,1,297,265,249.2,-74.0060152,40.7127281
Austria,47,11,38,4,23.5,13.199959,47.2000338
San Francisco,457,37,785,13,335.8,-122.4199061,37.7790262
Munich,906,0,27,1670,857.3,11.5753822,48.1371079
Toronto,610,5,20,1152,589.3,-79.3839347,43.6534817
Hangzhou China,47,0,13,0,13.3,120.2052342,30.2489634
Seoul,68,14,21,215,107.3,126.9782914,37.5666791
"Gurgaon, India",1500,6,73,957,705.3,77.00270014657752,28.42826235
Russia,832,19,621,1232,847.4000000000002,97.7453061,64.6863136
Mumbai,159,0,10,1,35.2,72.8353355,18.9387711
Le Mans,57,10,75,2248,934.1,0.1967379,48.0073498
Netherlands,63,14,14,5,20.200000000000006,5.7480821,52.5001698
 Shenzhen,252,11,194,594,347.3,114.0543297,22.555454
"Nanjing, China",624,48,642,65,348.2000000000001,118.7916458,32.0609736
Gothenburg,109,1,1,473,211.40000000000003,11.9670171,57.7072326
"Graz, Austria",143,0,42,57,64.0,15.4382786,47.0708678
"Montreal, Canada",25,0,63,46,42.3,-73.6103642,45.4972159
Brazil,268,46,429,491,383.3,-53.2,-10.3333333
"Seattle, Washington, USA",382,6,20,2,83.8,-122.3300624,47.6038321
Bangalore,138,15,2,33,42.90000000000001,77.5912997,12.9791198
Canada,255,265,903,4,350.0,-107.9917071,61.0666922
"New Orleans, LA",174,4,40,23,56.40000000000001,-90.0701156,29.9499323
"Brisbane, Australia",336,58,274,1224,644.8,153.0234991,-27.4689682
"Austin, TX",58,28,236,1556,707.6000000000001,-97.7436995,30.2711286
HeFei,52,42,141,10,60.9,117.2218033,31.8228094
New York,614,30,192,1172,652.2,-74.0060152,40.7127281
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
"London, UK",37,13,271,3,91.2,-0.1276474,51.5073219
Toronto ON,413,24,65,0,104.5,-79.3839347,43.6534817
"San Francisco, CA",36300,4,20,29,7278.0,-71.2743272,46.8443248
China,303,131,328,124,221.7,104.999927,35.000074
California,92,8,40,2236,925.6,-118.7559974,36.7014631
"Daejeon, Republic of Korea",82,2,100,7,49.4,127.3848,36.3496
"Dallas, TX",111,21,50,290,155.3,-96.7968559,32.7762719
Palo Alto,8500,43,59,1234,2215.6,-122.1598465,37.4443293
"Bangalore, India",86,94,494,81,207.2,77.5912997,12.9791198
"Atlanta, GA",5,2,13,0,5.1,-84.3901849,33.7490987
"Columbia, MD",107,9,261,35,114.6,-76.87477229012376,39.193919550000004
Seattle x Singapore,487,51,81,1549,746.4,,
"San Francisco, CA",117,48,182,64,108.4,-71.2743272,46.8443248
"Hyderabad, India",43,34,118,9,51.0,78.46106473453146,17.38878595
The Shire,1700,19,147,20,394.0,35.1484322,-16.5682419
"Beijing, China",7,11,4,226,94.1,116.412144,40.190632
New York City,3100,2,29,710,912.9,-74.0060152,40.7127281
United States,228,36,42,872,410.6,-100.4458825,39.7837304
Shanghai,29,18,49,8,25.5,121.4692071,31.2322758
California,105,4,241,87,128.5,-118.7559974,36.7014631
San Francisco,67,4,5,147,74.10000000000002,-122.4199061,37.7790262
"Grace Field, TPN",432,2,45,170,168.10000000000005,,
Los Angeles,633,0,1600,1156,1069.0,-118.2427666,34.0536909
